OBJECTID,Subdistric,Diameter,Bursts_Cou,Length_M,Bursts_per,Pressure_A,CNXDensity,Soil_Type,Soil_Code,Soil_RiskN,Era,Era_Code,Era_Risk,Material,Material_1,Mat_Risk,Mat_Code,Rain_YrAvg,DryMthAvg,WetMthAvg,Landuse,Landuse_Co,Landuse_Du,Location,rain_15yravg,rain_30yravg,rcp26_2035,rcp26_2050,rcp45_2035,rcp45_2050,rcp85_2035,rcp85_2050
20,Allmans,10,0,1262.429,0,42.083,0,Sandy Soils,S,1,1970-1996,B,2,D,D,3,I,1489.36300374,76.9236696,165.7824835,Rural,R,0,N,149.57339338822797,121.86931332674894,104.93785580721769,129.4385320490057,160.28237082741478,115.0455252907493,153.7669816450639,110.45998035777698
21,Allmans,12,0,1262.429,0,42.083,0,Sandy Soils,S,1,1970-1996,B,2,D,D,3,I,1489.36300374,76.9236696,165.7824835,Rural,R,0,N,148.2690717909071,122.0253668891059,104.77623833550348,129.24453904893664,160.06524488661023,114.85466427273221,153.5213419596354,110.28795962863498
22,Andrews Factory,4,0,1173.531,0,100.734,0,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1573.05566708,89.2257568,171.2585175,Rural,R,0,E,160.9779811549831,134.69891027502112,106.00848780451594,130.01178246575432,161.16797534839526,115.29047228838947,153.79504600731102,110.08096911456134
23,Andrews Factory,5,0,1173.531,0,100.734,0,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1573.05566708,89.2257568,171.2585175,Rural,R,0,E,164.5519482647931,133.68645279495806,113.60916392008464,139.5045007776331,171.88154884620948,124.12503673412182,165.67238532172308,118.5583987765842
24,Andrews Factory,8,0,1173.531,0,100.734,0,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1573.05566708,89.2257568,171.2585175,Rural,R,0,E,162.81647872924805,134.42899703979492,108.66531944274902,133.33345413208008,164.90912246704102,118.38384246826172,157.95426559448242,113.05078315734863
25,Andrews Factory,9,0,1173.531,0,100.734,0,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1573.05566708,89.2257568,171.2585175,Rural,R,0,E,158.52449829101562,133.81827880859376,108.83100646972656,133.51971130371095,165.054775390625,118.61518005371094,158.27777404785155,113.29866516113282
26,Andrews Factory,12,0,1173.531,0,100.734,0,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1573.05566708,89.2257568,171.2585175,Rural,R,0,E,165.9637340867376,134.6981081675334,109.77189020363681,134.69636627564947,166.47959807981928,119.65105851874294,159.65558780532285,114.25762902684959
27,Andrews Plantation,4,0,1119.737,0,160.691,0,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1548.32465617,88.8652967,170.9654325,Rural,R,0,E,150.70281219482422,133.54074096679687,106.94669342041016,131.16053771972656,162.34951782226562,116.45769882202148,155.381591796875,111.25213623046875
28,Andrews Plantation,12,0,1119.737,0,160.691,0,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1548.32465617,88.8652967,170.9654325,Rural,R,0,E,159.89126586914062,133.3516082763672,111.2448959350586,136.51519775390625,168.43617248535156,121.41693115234375,162.0458526611328,115.98611450195312
29,Andrews Tenantry,3,4,13.786,0.29,-1,0,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1609.59812128,90.2037953,172.1976562,Rural,R,0,E,167.21021423339843,135.2357940673828,108.23111877441406,132.83611450195312,164.40663452148436,117.84368743896485,157.22686462402345,112.51742858886719
30,Andrews Tenantry,4,4,13.786,0.29,-1,0,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1609.59812128,90.2037953,172.1976562,Rural,R,0,E,168.2907433143029,135.40205852801984,108.44977334829477,133.09104684682993,164.7043715256911,118.0928473839393,157.56199059119592,112.75490452693059
31,Andrews Tenantry,5,4,13.786,0.29,-1,0,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1609.59812128,90.2037953,172.1976562,Rural,R,0,E,164.00077311197916,134.55573527018228,109.07559967041016,133.83726501464844,165.4907989501953,118.85196685791016,158.58187866210937,113.49500274658203
32,Andrews Tenantry,6,4,13.786,0.29,-1,0,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1609.59812128,90.2037953,172.1976562,Rural,R,0,E,172.8606292262222,135.75890419699928,112.23481692689838,137.7998862989021,170.08005292487866,122.46401607629025,163.43682607014975,116.93978916515003
33,Andrews Tenantry,8,4,13.786,0.29,-1,0,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1609.59812128,90.2037953,172.1976562,Rural,R,0,E,168.64130655924478,135.54503287521064,108.40801433488434,133.03061481550628,164.64457014495252,118.03940627154182,157.49393358417586,112.70519825056488
34,Andrews Tenantry,9,4,13.786,0.29,-1,0,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1609.59812128,90.2037953,172.1976562,Rural,R,0,E,172.87422858344183,135.78686014811197,111.93417544894749,137.4238077799479,169.65572882758246,122.11438310411242,162.9692169189453,116.60620456271701
35,Andrews Tenantry,12,4,13.786,0.29,-1,0,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1609.59812128,90.2037953,172.1976562,Rural,R,0,E,170.24561985560825,135.97628130231584,107.8725799560547,132.3889657156808,163.94509582519532,117.40267050606865,156.64405561174667,112.09415152413504
36,Apes Hill,2,4,675.231,0.006,25.839,0.211,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1526.82922642,83.4064047,170.1023183,Rural,R,0,N,107.81422483004056,136.17399139404296,135.23612987811748,168.95191086989183,207.32551562969502,148.5983211810772,198.8921364417443,142.85608954796425
37,Apes Hill,3,4,675.231,0.006,25.839,0.211,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1526.82922642,83.4064047,170.1023183,Rural,R,0,N,105.89855913611932,136.818466558689,130.56392973612964,161.60065578057515,198.75029314242727,143.17333947158443,191.6577882844258,137.60268271841653
38,Apes Hill,4,4,675.231,0.006,25.839,0.211,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1526.82922642,83.4064047,170.1023183,Rural,R,0,N,93.40103389598706,134.7360260574906,135.29137335883246,167.45684701425057,205.66200002034506,148.52338268138743,198.64183892144098,142.64684549967447
39,Apes Hill,6,4,675.231,0.006,25.839,0.211,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1526.82922642,83.4064047,170.1023183,Rural,R,0,N,105.4953887422206,136.7237572104244,130.85355286679027,162.01030847581765,199.22993585618875,143.5046545772229,192.094229229426,137.91884276826502
40,Apes Hill,10,4,675.231,0.006,25.839,0.211,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1526.82922642,83.4064047,170.1023183,Rural,R,0,N,95.64687969810085,135.13441547594573,132.83995859246505,164.14389560097143,201.78937530517578,145.71304923609682,194.8981250963713,139.9395583303351
41,Apple Hall,3,0,523.591,0,19.73,0,Shallow Soils,H,2,1860-1969,D,4,C,C,4,I,1342.83023034,68.4787486,150.5731307,Urban,U,1,S,111.6153081258138,110.00714619954427,101.93962224324544,127.23421859741211,155.25347646077475,111.62256749471028,150.3805669148763,107.83417256673177
42,Apple Hall,4,0,523.591,0,19.73,0,Shallow Soils,H,2,1860-1969,D,4,C,C,4,I,1342.83023034,68.4787486,150.5731307,Urban,U,1,S,111.10508567228446,109.95700244304845,101.79244861688315,127.0537861366443,155.03288706963372,111.45792833678925,150.16628323542162,107.6808690297764
43,Apple Hall,8,0,523.591,0,19.73,0,Shallow Soils,H,2,1860-1969,D,4,C,C,4,I,1342.83023034,68.4787486,150.5731307,Urban,U,1,S,111.62283195333278,110.035631382719,101.9416003937417,127.23658801139669,155.25668334960937,111.62441756877493,150.38332188383063,107.83605616143409
44,Appleby,4,12,1972.494,0.006,102.401,3.088,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1459.92102051,73.6736544,165.5643107,Urban,U,1,W,101.67503933376736,116.3189943101671,131.34654303656683,162.16745944552952,199.02926839192708,143.92554728190103,192.1093499077691,138.03608873155383
45,Appleby,10,12,1972.494,0.006,102.401,3.088,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1459.92102051,73.6736544,165.5643107,Urban,U,1,W,102.53120491721414,116.8029521595348,131.36668118563566,162.13613752885297,198.98340953480113,143.93867631392047,192.12479747425425,138.04710665616122
46,Applewaithes,4,5,1226.1,0.004,175.374,0,Kandoid Clay,K,3,Unknown,E,5,U,U,6,U,1488.27794561,85.9108419,170.0111,Rural,R,0,W,116.54906850046926,129.3870257092761,108.39226531982422,132.6876153326654,164.30436686726358,118.18505056802329,157.62838804567016,113.0851944762391
47,Applewaithes,6,5,1226.1,0.004,175.374,0,Kandoid Clay,K,3,Unknown,E,5,U,U,6,U,1488.27794561,85.9108419,170.0111,Rural,R,0,W,118.85980317086884,129.9568511500503,107.56643468683416,131.72044649991122,163.09779982133344,117.28634897867839,156.43561854506984,112.21785921039003
48,Applewaithes,8,5,1226.1,0.004,175.374,0,Kandoid Clay,K,3,Unknown,E,5,U,U,6,U,1488.27794561,85.9108419,170.0111,Rural,R,0,W,118.55735753377279,130.6644827948676,105.74812622070313,129.33812154134114,160.53558332655166,115.05292824639214,153.42833540174695,110.02473407321506
49,Applewaithes,10,5,1226.1,0.004,175.374,0,Kandoid Clay,K,3,Unknown,E,5,U,U,6,U,1488.27794561,85.9108419,170.0111,Rural,R,0,W,119.86541585922241,130.45003309249878,107.07130703926086,131.08915672302246,162.33791236877443,116.7140658378601,155.68370952606202,111.65902466773987
50,Applewaithes Tenantry,4,0,139.268,0,11.573,0,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1482.17525139,83.8933627,169.9316473,Urban,U,1,W,116.21492258707683,127.2732760111491,112.88863118489583,138.48888142903647,171.1300303141276,123.28466288248698,164.4463094075521,118.03633880615234
51,Applewaithes Tenantry,6,0,139.268,0,11.573,0,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1482.17525139,83.8933627,169.9316473,Urban,U,1,W,117.02107585560192,128.59959827769887,109.88468516956677,134.66138111461294,166.56578063964844,119.92593036998402,159.95862926136363,114.78291320800781
52,Applewaithes Tenantry,7,0,139.268,0,11.573,0,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1482.17525139,83.8933627,169.9316473,Urban,U,1,W,114.3649431311566,128.2317126730214,111.17109414805536,136.25588989257812,168.5412246040676,121.31414562722911,161.8089841759723,116.12130438763162
53,Applewaithes Tenantry,10,0,139.268,0,11.573,0,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1482.17525139,83.8933627,169.9316473,Urban,U,1,W,120.67593686720905,128.03103884528664,110.7681282267851,135.8533058166504,167.8582103953642,121.00617352653953,161.40826730167166,115.84179709939396
54,Arch Hall,3,13,1339.718,0.01,-16.621,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1487.83921708,78.0229812,168.2718,Rural,R,0,W,100.83226945665147,124.42659469887063,131.09966179176612,162.02629937065973,199.2052239312066,143.6735972651729,191.8479714570222,137.81175655788846
55,Arch Hall,6,13,1339.718,0.01,-16.621,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1487.83921708,78.0229812,168.2718,Rural,R,0,W,101.60054551794174,124.4330988944845,129.63548067782787,159.96866234312665,196.74196576057597,141.98920846492686,189.56842430601728,136.16859208776594
56,Arch Hall,8,13,1339.718,0.01,-16.621,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1487.83921708,78.0229812,168.2718,Rural,R,0,W,97.99811436579778,125.53090452536559,130.6324502015725,161.41839912610178,198.53328333145532,143.14622380183295,191.1666744916867,137.31043302095853
57,Arch Hall,12,13,1339.718,0.01,-16.621,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1487.83921708,78.0229812,168.2718,Rural,R,0,W,99.11819424836531,125.1397080352341,129.69679547738338,160.13441998025647,196.99074123216712,142.06535007642663,189.6910415870556,136.25040048792744
58,Archers,3,1,300.883,0.003,22.487,0,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1395.82775181,69.8754486,158.4274942,Urban,U,1,N,111.84559059143066,115.95259704589844,98.64754028320313,121.22499008178711,150.45106887817383,107.82856140136718,144.21272735595704,103.55283813476562
59,Archers,4,1,300.883,0.003,22.487,0,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1395.82775181,69.8754486,158.4274942,Urban,U,1,N,111.52257713904747,116.06478764460637,98.95656937819261,121.63149085411659,150.93004901592548,108.18794309175931,144.68323692908655,103.89065610445462
60,Arthur's Seat,3,24,2873.974,0.008,-11.109,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1473.1515148,79.2484563,168.722272,Urban,U,1,W,116.89927549923168,123.5274326100069,123.57557465048397,152.0354071224437,187.09057953778435,135.25068709429573,180.47367544735178,129.62778551438277
61,Arthur's Seat,4,24,2873.974,0.008,-11.109,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1473.1515148,79.2484563,168.722272,Urban,U,1,W,118.38527689351665,123.57314320353719,122.61149745792538,150.82919806938668,185.63623859355977,134.19058247355673,179.05286813711191,128.60376244086723
62,Arthur's Seat,6,24,2873.974,0.008,-11.109,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1473.1515148,79.2484563,168.722272,Urban,U,1,W,117.00545907789662,124.03939807030463,122.50435909148186,150.70428343742125,185.53013290897493,134.05535273398124,178.872311499811,128.47026664979995
63,Arthur's Seat,10,24,2873.974,0.008,-11.109,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1473.1515148,79.2484563,168.722272,Urban,U,1,W,118.91913934656091,123.41612924111855,122.40224869186814,150.5621808026288,185.29901947846284,133.96508170462943,178.74877558527766,128.38576095168656
64,Ashbury,3,2,522.742,0.004,50.375,0,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1509.34912664,87.523754,169.0527421,Rural,R,0,E,158.35765938136888,133.1664239634638,111.91337883990744,137.37221228558084,169.36533654254416,122.21296244082244,163.12892018193784,116.76753334377123
65,Ashbury,4,2,522.742,0.004,50.375,0,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1509.34912664,87.523754,169.0527421,Rural,R,0,E,157.4263427734375,132.70375366210936,113.91854476928711,139.99820098876953,172.3125473022461,124.54604263305664,166.2777526855469,119.01670532226562
66,Ashbury,5,2,522.742,0.004,50.375,0,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1509.34912664,87.523754,169.0527421,Rural,R,0,E,152.8646120938388,131.72613136985086,118.89423411976207,146.8173914129084,179.98238303444603,130.32216658158737,174.09104059392754,124.59509748979049
