OBJECTID,Subdistric,Diameter,Bursts_Cou,Length_M,Bursts_per,Pressure_A,CNXDensity,Soil_Type,Soil_Code,Soil_RiskN,Era,Era_Code,Era_Risk,Material,Material_1,Mat_Risk,Mat_Code,Rain_YrAvg,DryMthAvg,WetMthAvg,Landuse,Landuse_Co,Landuse_Du,Location,rain_15yravg,rain_30yravg,rcp26_2035,rcp26_2050,rcp45_2035,rcp45_2050,rcp85_2035,rcp85_2050
526,Chalky Mount,3,9,502.77,0.018,94.238,0,Scotland District Soils,O,6,1860-1969,D,4,C,C,4,I,1460.1083374,81.4166786,166.3993355,Rural,R,0,N,134.66542728130634,128.43589694683368,106.73075763995831,131.99851432213416,163.52796143751877,116.16837369478665,155.94386350191556,111.7827292222243
527,Chalky Mount,4,9,502.77,0.018,94.238,0,Scotland District Soils,O,6,1860-1969,D,4,C,C,4,I,1460.1083374,81.4166786,166.3993355,Rural,R,0,N,131.29667766674146,127.33734378299198,106.08514651736698,131.21982182683172,162.60545782140784,115.4502486151618,155.04150885504646,111.16411456546268
528,Chance Hall,2,0,212.576,0,-0.75,0,Smectoid Clay,M,5,Unknown,E,5,G,G,2,I,1388.71395628,70.0208403,157.9668919,Rural,R,0,N,113.46497206254439,118.22704800692472,97.14943313598633,119.12352752685547,148.1957085349343,105.79871611161666,141.63480030406606,101.81887227838689
529,Chance Hall,3,0,212.576,0,-0.75,0,Smectoid Clay,M,5,Unknown,E,5,G,G,2,I,1388.71395628,70.0208403,157.9668919,Rural,R,0,N,109.46728736704046,115.82427835464478,96.77371194145896,118.69006690112028,147.597730549899,105.45795692097057,141.16583286632192,101.44081189415671
530,Chance Hall,4,0,212.576,0,-0.75,0,Smectoid Clay,M,5,Unknown,E,5,G,G,2,I,1388.71395628,70.0208403,157.9668919,Rural,R,0,N,103.77407775878906,116.55224426269531,96.86879028320313,118.67955123901368,147.67604553222657,105.43738830566406,141.1772317504883,101.50049438476563
531,Chance Hall,8,0,212.576,0,-0.75,0,Smectoid Clay,M,5,Unknown,E,5,G,G,2,I,1388.71395628,70.0208403,157.9668919,Rural,R,0,N,111.18074056837294,115.66555870903863,96.8174148135715,118.83391104804144,147.72132958306207,105.57873683505588,141.30213970608182,101.5107970767551
532,Chancery Lane,3,19,443.441,0.043,34.57,6.292,Shallow Soils,H,2,1860-1969,D,4,C,C,4,I,1361.0764601,69.5364381,154.0684903,Rural,R,0,S,106.7220942179362,111.9037259419759,84.39207967122395,104.73804982503255,128.40739568074545,91.94159825642903,124.08577982584636,88.96865208943684
533,Chancery Lane,4,19,443.441,0.043,34.57,6.292,Shallow Soils,H,2,1860-1969,D,4,C,C,4,I,1361.0764601,69.5364381,154.0684903,Rural,R,0,S,107.11794866517533,112.53609519781068,84.15978063539018,104.28532161269077,127.95627895621367,91.66285457167514,123.6389247095862,88.63783423845157
534,Chancery Lane,6,19,443.441,0.043,34.57,6.292,Shallow Soils,H,2,1860-1969,D,4,C,C,4,I,1361.0764601,69.5364381,154.0684903,Rural,R,0,S,107.39729614257813,112.8768424987793,84.03751093546549,104.02639516194661,127.69394556681316,91.51547470092774,123.40003712972005,88.46085459391276
535,Chapel,3,32,522.664,0.061,40.402,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1371.28112663,74.122275,157.1897595,Urban,U,1,S,118.04330444335937,116.85871465582596,107.56990191811009,133.9313880518863,163.51211668315688,117.92007968300267,158.48195848966898,113.68322231895046
536,Chapel,4,32,522.664,0.061,40.402,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1371.28112663,74.122275,157.1897595,Urban,U,1,S,118.72943580611903,116.63183269772657,107.28168495318069,133.56564127500576,163.07303516830785,117.60255509821314,158.06042031406628,113.38609361357213
537,Chapel,6,32,522.664,0.061,40.402,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1371.28112663,74.122275,157.1897595,Urban,U,1,S,118.44391978155706,115.67615619148175,106.39009739197407,132.4714942224247,161.73675426994402,116.62929967506645,156.7735471430513,112.46179120565198
538,Chapel,12,32,522.664,0.061,40.402,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1371.28112663,74.122275,157.1897595,Urban,U,1,S,116.98036294613244,112.94156545962927,103.64860232371204,129.0454294456626,157.5871127146595,113.62275393504017,152.77950330050487,109.59901025160303
539,Chapel Gap,3,0,300.01,0,96.559,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1499.32652,82.3773554,167.14104940000001,Urban,U,1,S,157.0497283935547,125.85485649108887,91.57070541381836,111.89387893676758,138.45520782470703,99.72733879089355,133.1361083984375,95.44830703735352
540,Chapel Gap,4,0,300.01,0,96.559,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1499.32652,82.3773554,167.14104940000001,Urban,U,1,S,156.14486976906105,124.9306482385706,90.57864945023148,110.70360000045211,137.09274631076389,98.54694846824363,131.52371554904514,94.28398160581236
541,Chapel Gap,9,0,300.01,0,96.559,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1499.32652,82.3773554,167.14104940000001,Urban,U,1,S,157.34682888454861,125.47208489312067,91.77711486816406,112.15946875678168,138.79580688476562,99.94483693440755,133.40943739149304,95.64726003011067
542,Chapel Gap,18,0,300.01,0,96.559,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1499.32652,82.3773554,167.14104940000001,Urban,U,1,S,157.93264465332032,125.71514739990235,91.37470703125,111.65861358642579,138.1839172363281,99.49621887207032,132.8212097167969,95.22102355957031
543,Chapman,3,0,303.375,0,122.026,0,Scotland District Soils,O,6,Unknown,E,5,G,G,2,I,1573.76578508,86.746507,171.4646216,Rural,R,0,W,124.45395278930664,133.76410675048828,109.11979675292969,133.90389251708984,166.39154052734375,118.58455657958984,158.56068420410156,113.66079711914062
544,Chapman Street,4,0,1131.491,0,43.858,0,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1469.60480957,77.4275833,164.9141296,Urban,U,1,W,134.81307289817116,119.10779571533203,90.59796309037642,110.93486508456144,137.6055346402255,98.20276732011276,130.98077226118608,93.87741539695047
545,Charles Rowe Bridge,4,8,1988.729,0.004,10.336,0,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1521.20422363,85.7439338,169.4405299,Rural,R,0,W,141.44617080688477,127.66209466116769,103.46845599583217,127.01945454733712,156.60811151776994,113.22427218300956,151.13777542114258,108.44725581577846
546,Charnocks,4,52,1481.896,0.035,-22.968,0,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1338.60904635,68.47776,152.2905016,Urban,U,1,S,111.96063815341907,111.8899947605776,88.70787562681048,110.14818667293935,134.89126586914062,96.85467683599236,130.58630782566715,93.63908814848139
547,Charnocks,6,52,1481.896,0.035,-22.968,0,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1338.60904635,68.47776,152.2905016,Urban,U,1,S,108.42279985215929,111.32291073269315,88.02156745062933,109.3321550157335,133.79778035481772,96.08791266547308,129.65564134385852,92.98189036051433
548,Charnocks,10,52,1481.896,0.035,-22.968,0,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1338.60904635,68.47776,152.2905016,Urban,U,1,S,108.91001707134825,111.89009256073923,88.16120818167022,109.4399203676166,134.03738310842803,96.23288934881037,129.76771129261363,93.05091349283855
549,Charnocks,12,52,1481.896,0.035,-22.968,0,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1338.60904635,68.47776,152.2905016,Urban,U,1,S,108.42970432553973,110.94028411592755,88.75722748892647,110.30654484885079,134.9729265485491,96.92301947729928,130.75961930411202,93.77520840508598
550,Cheapside,4,0,2.871,0,33.477,0,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1467.9841926,77.0322562,164.665469,Urban,U,1,W,133.0615692138672,118.63802337646484,88.2003173828125,107.70614624023437,133.7412109375,95.485748291015625,127.3646240234375,91.26313018798828
551,Cheapside,6,0,2.871,0,33.477,0,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1467.9841926,77.0322562,164.665469,Urban,U,1,W,132.79695565359933,118.59459795270648,88.54844665527344,108.12642233712333,134.24388994489397,95.8765149797712,127.88705226353237,91.64093235560826
552,Checker Hall,3,27,11.475,2.353,20.976,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1474.88260905,75.7080009,164.8272658,Urban,U,1,N,146.81504821777344,120.531982421875,103.68032836914062,127.8337173461914,158.3267059326172,113.6344223022461,151.88087463378906,109.07759857177734
553,Checker Hall,4,27,11.475,2.353,20.976,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1474.88260905,75.7080009,164.8272658,Urban,U,1,N,146.27004211425782,120.51062866210937,103.77625228881836,127.93972229003906,158.45278411865235,113.74203018188477,152.0229571533203,109.18083297729493
554,Checker Hall,6,27,11.475,2.353,20.976,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1474.88260905,75.7080009,164.8272658,Urban,U,1,N,147.45756450452302,120.81253372995477,104.52113984760486,128.84610186125101,159.5381397448088,114.58377035040604,153.13662077251234,109.9899986668637
555,Checker Hall,8,27,11.475,2.353,20.976,0,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1474.88260905,75.7080009,164.8272658,Urban,U,1,N,145.50167236328124,120.20859781901042,103.22926788330078,127.26321004231771,157.63971557617188,113.12405802408854,151.2033945719401,108.58463541666667
556,Chelsea Road,4,0,188.109,0,44.916,0,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1467.61523438,78.3784409,164.6848145,Urban,U,1,W,134.19342041015625,119.58296966552734,79.49277877807617,96.50593948364258,120.23670323689778,85.7560640970866,114.4523073832194,81.9339116414388
557,Cheltenham,3,0,290.005,0,-111.998,0,Scotland District Soils,O,6,1860-1969,D,4,C,C,4,I,1484.15489366,82.6801999,168.163937,Rural,R,0,N,128.08232280186243,127.97546332223075,110.94364411490304,137.01102011544364,169.65058953421456,120.98309516906738,162.43788582938058,116.5852860042027
558,Cheltenham,4,0,290.005,0,-111.998,0,Scotland District Soils,O,6,1860-1969,D,4,C,C,4,I,1484.15489366,82.6801999,168.163937,Rural,R,0,N,127.03875665103688,129.1309419519761,112.34544372558594,138.86724808636833,171.860045040355,122.56031372967888,164.51118918026194,118.06754706887638
559,Cherry Grove,3,9,766.787,0.012,45.177,0,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1440.38925171,84.7189395,166.2149944,Rural,R,0,E,133.0049591064453,128.59017181396484,117.915709177653,146.08086140950522,178.69126637776694,129.3336270650228,173.05845387776694,123.93567276000977
560,Cherry Grove,4,9,766.787,0.012,45.177,0,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1440.38925171,84.7189395,166.2149944,Rural,R,0,E,129.1796824645996,127.77076065063477,118.61515747070312,147.1093884277344,179.81398254394531,130.1472952270508,174.20634979248047,124.75524337768555
561,Cheshire,4,0,91.484,0,23.073,0,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1408.49441528,81.654192,163.9947815,Urban,U,1,E,122.19016520182292,128.26402791341147,119.15103658040364,148.17630513509116,181.0212148030599,130.76183064778647,175.12810770670572,125.39739481608073
562,Cheshire,8,0,91.484,0,23.073,0,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1408.49441528,81.654192,163.9947815,Urban,U,1,E,121.95326350285457,128.21544588529147,119.00751143235426,148.00657419057993,180.81302349384015,130.60101787860577,174.92323537973257,125.25303767277644
563,Chimborazo,2,12,32.846,0.365,-1,32.846,Scotland District Soils,O,6,1970-1996,B,2,D,D,3,I,1628.69399007,89.7945868,172.5384967,Urban,U,1,E,160.54741501226658,139.01265065262956,106.29759160483756,130.42423713498,162.00640794707508,115.47333042796065,154.36241447634814,110.53311287484517
564,Chimborazo,4,12,32.846,0.365,-1,32.846,Scotland District Soils,O,6,1970-1996,B,2,D,D,3,I,1628.69399007,89.7945868,172.5384967,Urban,U,1,E,166.44956970214844,138.2854461669922,106.9632797241211,131.25035095214844,162.88816833496094,116.26415252685547,155.39935302734375,111.2557373046875
565,Chimney,2,0,730.457,0,9.232,0,Kandoid Clay,K,3,Unknown,E,5,G,G,2,I,1446.02453613,83.3867418,164.9401113,Rural,R,0,E,126.79170972650701,125.2049239765514,111.80290725014426,138.75137190385297,169.7118155739524,122.47956275939941,164.25822552767667,117.78580995039506
566,Chimney,4,0,730.457,0,9.232,0,Kandoid Clay,K,3,Unknown,E,5,G,G,2,I,1446.02453613,83.3867418,164.9401113,Rural,R,0,E,129.85638694763185,126.75654315948486,110.53707485198974,136.9637393951416,167.73057746887207,121.05007076263428,162.2423942565918,116.34506092071533
567,Chimney,7,0,730.457,0,9.232,0,Kandoid Clay,K,3,Unknown,E,5,G,G,2,I,1446.02453613,83.3867418,164.9401113,Rural,R,0,E,129.16455078125,126.54728698730469,110.96607208251953,137.50146484375,168.3733367919922,121.52772521972656,162.8729248046875,116.78886413574219
568,Chimney,11,0,730.457,0,9.232,0,Kandoid Clay,K,3,Unknown,E,5,G,G,2,I,1446.02453613,83.3867418,164.9401113,Rural,R,0,E,129.9058292388916,126.77481670379639,110.51007022857667,136.92685470581054,167.68794021606445,121.01988201141357,162.2013168334961,116.3159309387207
569,Christie,3,0,1515.924,0,1.882,0,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1493.5943686,80.3224763,169.244645,Urban,U,1,W,99.4687981741769,129.06600734165735,121.55162048339844,149.48722229003906,184.47305559430802,132.8109606061663,177.24635009765626,127.26215166364398
570,Christie,6,0,1515.924,0,1.882,0,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1493.5943686,80.3224763,169.244645,Urban,U,1,W,103.38317947387695,128.7149642944336,121.07931900024414,148.90072021484374,183.7344940185547,132.29908905029296,176.5478744506836,126.76263275146485
571,Christie Village,16,0,143.2,0,-14.881,0,Kandoid Clay,K,3,Unknown,E,5,U,U,6,U,1488.13684082,79.5693665,168.9271851,Urban,U,1,W,104.16388702392578,127.4462890625,124.12371826171875,152.85916646321616,188.36713155110678,135.74457804361978,181.16619873046875,130.1023712158203
572,Church Gap Hillaby,3,0,923.795,0,61.499,0,Scotland District Soils,O,6,1860-1969,D,4,C,C,4,I,1536.75068665,84.7860527,170.5227509,Urban,U,1,N,103.55099472045899,136.8054962158203,128.4234375,158.46709991455077,195.11208587646485,140.69018951416015,188.29832092285156,135.16742279052735
573,Church Gap Hillaby,4,0,923.795,0,61.499,0,Scotland District Soils,O,6,1860-1969,D,4,C,C,4,I,1536.75068665,84.7860527,170.5227509,Urban,U,1,N,102.1333932315602,136.85965235093062,127.91802350212546,157.69268888585708,194.21645310345818,140.10124116785386,187.49170819450828,134.58315411735984
574,Church Gap Hillaby,6,0,923.795,0,61.499,0,Scotland District Soils,O,6,1860-1969,D,4,C,C,4,I,1536.75068665,84.7860527,170.5227509,Urban,U,1,N,103.75004393054593,137.18055983512633,125.65200018113659,154.82497024536133,190.86063261955016,137.51000324372322,184.0262470860635,132.07977774835402
575,Church Hill,2,0,12.338,0,-10.673,0,Smectoid Clay,M,5,Unknown,E,5,G,G,2,I,1355.81747487,74.7573766,159.3469621,Urban,U,1,S,115.84082794189453,118.8824462890625,83.99620819091797,103.00641632080078,127.16201782226562,91.34141540527344,122.5565185546875,87.80248260498047
576,Church Hill,3,0,12.338,0,-10.673,0,Smectoid Clay,M,5,Unknown,E,5,G,G,2,I,1355.81747487,74.7573766,159.3469621,Urban,U,1,S,115.02706891014462,118.6453850155785,83.82184964134579,102.78789229620071,126.89475995018368,91.14268166678292,122.29624502999442,87.61566670735677
577,Church Hill,4,0,12.338,0,-10.673,0,Smectoid Clay,M,5,Unknown,E,5,G,G,2,I,1355.81747487,74.7573766,159.3469621,Urban,U,1,S,112.97860244684344,118.16357868311187,83.7615845859311,102.79270395337234,126.84169929204549,91.0870584213057,122.27690427688532,87.60428632711219
578,Church Hill,6,0,12.338,0,-10.673,0,Smectoid Clay,M,5,Unknown,E,5,G,G,2,I,1355.81747487,74.7573766,159.3469621,Urban,U,1,S,112.29651896158855,118.53308429140033,84.04674021402995,103.19406428481594,127.29200120405717,91.42066724372633,122.75080039284445,87.94621161258581
579,Church Hill North,1.5,0,828.463,0,57.27,0,Smectoid Clay,M,5,Unknown,E,5,G,G,2,I,1425.88791911,73.5579461,162.5330293,Rural,R,0,N,127.30963590251865,119.73574726617159,99.09148350046642,121.6331875929192,150.9940754904676,108.29071158793435,144.8659408341593,104.04068619457644
580,Church Street Gardens,4,0,1457.173,0,49.608,1.457,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1548.49103292,81.5027431,169.3683936,Urban,U,1,N,154.36169153330277,125.75771643190967,116.02153544523279,143.52733721051897,177.1512653584383,127.5331375744878,170.3537778270488,122.49255075260085
581,Church Street Gardens,6,0,1457.173,0,49.608,1.457,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1548.49103292,81.5027431,169.3683936,Urban,U,1,N,152.97952270507812,126.25413513183594,115.9874153137207,143.53553009033203,177.17462158203125,127.49996566772461,170.31136322021484,122.46940231323242
582,Church Street Gardens,7,0,1457.173,0,49.608,1.457,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1548.49103292,81.5027431,169.3683936,Urban,U,1,N,152.78952026367187,126.33304341634114,115.8279520670573,143.36059061686197,176.9748789469401,127.32394154866536,170.0782470703125,122.30584208170573
583,Church Street Gardens,8,0,1457.173,0,49.608,1.457,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1548.49103292,81.5027431,169.3683936,Urban,U,1,N,153.3799765450614,126.24672154017857,115.75714656284877,143.25044686453683,176.83673749651228,127.24193137032645,169.9678737095424,122.22241755894252
584,Church Street Gardens,12,0,1457.173,0,49.608,1.457,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1548.49103292,81.5027431,169.3683936,Urban,U,1,N,154.39017377580916,125.75226593017578,116.0401589529855,143.54939814976282,177.17671421595983,127.55356270926339,170.38096400669642,122.51168387276786
585,Church Street Gardens,15,0,1457.173,0,49.608,1.457,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1548.49103292,81.5027431,169.3683936,Urban,U,1,N,153.4969310760498,126.0049524307251,116.6848611831665,144.4025993347168,178.1978988647461,128.27692222595215,171.34617233276367,123.21038627624512
586,Church View,3,1,229.718,0.004,7.979,0,Scotland District Soils,O,6,Unknown,E,5,U,U,6,U,1473.52407203,82.1675088,164.9710961,Rural,R,0,E,115.64785766601562,128.73294067382812,118.20455169677734,147.18472290039062,179.90420532226562,129.666015625,173.71435546875,124.38658905029297
587,Church View,4,1,229.718,0.004,7.979,0,Scotland District Soils,O,6,Unknown,E,5,U,U,6,U,1473.52407203,82.1675088,164.9710961,Rural,R,0,E,119.6653109180684,129.08921751684073,119.20029278190769,148.244384765625,181.22034532196668,130.7788032998844,175.1373110401387,125.3871441276706
588,Church View,6,1,229.718,0.004,7.979,0,Scotland District Soils,O,6,Unknown,E,5,U,U,6,U,1473.52407203,82.1675088,164.9710961,Rural,R,0,E,111.63148625691731,126.93086757994534,117.66545499835098,146.49911217940482,179.0895652101751,129.05549982974404,172.92927216646964,123.83103113007127
589,Church View,7,1,229.718,0.004,7.979,0,Scotland District Soils,O,6,Unknown,E,5,U,U,6,U,1473.52407203,82.1675088,164.9710961,Rural,R,0,E,116.40721314528892,128.28692548028354,118.32955011828193,147.26604014429552,180.0629330339103,129.78865261735587,173.85857628131734,124.4821548461914
590,Church View,8,1,229.718,0.004,7.979,0,Scotland District Soils,O,6,Unknown,E,5,U,U,6,U,1473.52407203,82.1675088,164.9710961,Rural,R,0,E,117.28766479492188,128.98685302734376,118.25763702392578,147.21600952148438,179.92608032226562,129.7319091796875,173.8035095214844,124.45168609619141
591,Church View,10,1,229.718,0.004,7.979,0,Scotland District Soils,O,6,Unknown,E,5,U,U,6,U,1473.52407203,82.1675088,164.9710961,Rural,R,0,E,108.1964594523112,124.26173400878906,117.58055369059245,146.35540771484375,179.01270039876303,128.9286855061849,172.74443562825522,123.69132995605469
592,Church Village,4,0,2955.412,0,24.259,0,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1329.83865224,74.8291604,157.8257327,Urban,U,1,S,116.83310956257145,117.3886849380121,108.09237250351325,134.61152485172923,164.32500305175782,118.49750157798209,159.25092542694836,114.2215685216392
593,Church Village,6,0,2955.412,0,24.259,0,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1329.83865224,74.8291604,157.8257327,Urban,U,1,S,118.19184112548828,116.47665405273437,107.20518493652344,133.49119567871094,162.9702911376953,117.52314758300781,157.9601593017578,113.3073501586914
594,Clapham,3,5,527.124,0.009,40.938,0.793,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1468.53847518,79.7612577,164.2155462,Urban,U,1,S,146.4441135951451,125.0637715657552,83.47564842587425,101.66370282854352,126.22913178943452,90.47970326741536,120.83201417468842,86.54954964773995
595,Clapham,4,5,527.124,0.009,40.938,0.793,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1468.53847518,79.7612577,164.2155462,Urban,U,1,S,142.29899363912594,124.48532148227571,83.09597039678295,101.15120769913788,125.59316122455961,90.05804389905019,120.28850497106079,86.15692853016459
596,Clapham,6,5,527.124,0.009,40.938,0.793,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1468.53847518,79.7612577,164.2155462,Urban,U,1,S,142.52459688539858,124.57213889227972,83.80182096693251,102.00637252242477,126.58880177250614,90.8812922724971,121.4031394675926,86.96284725047924
597,Clapham,8,5,527.124,0.009,40.938,0.793,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1468.53847518,79.7612577,164.2155462,Urban,U,1,S,144.89149475097656,125.29315185546875,84.011566162109375,102.31284713745117,126.99312973022461,91.10036849975586,121.66595458984375,87.1525993347168
598,Clapham,10,5,527.124,0.009,40.938,0.793,Smectoid Clay,M,5,1860-1969,D,4,C,C,4,I,1468.53847518,79.7612577,164.2155462,Urban,U,1,S,142.47000943697415,124.60603802020734,84.15262251633864,102.44022310697116,127.09640913743239,91.28936767578125,121.95377936730019,87.36086801382211
599,Clarendon Fort,6,0,722.306,0,66.507,0,Smectoid Clay,M,5,Unknown,E,5,U,U,6,U,1524.45828247,80.731926,169.3938255,Urban,U,1,W,135.23977184295654,123.99833869934082,130.79580465952554,161.69648011525473,198.6643581390381,143.8626070022583,192.18323961893717,138.14398543039957
600,Clarendon Fort,7,0,722.306,0,66.507,0,Smectoid Clay,M,5,Unknown,E,5,U,U,6,U,1524.45828247,80.731926,169.3938255,Urban,U,1,W,135.36156145731607,123.99368731180827,130.77170944213867,161.65804481506348,198.61858304341635,143.8362070719401,192.1477508544922,138.11858812967935
601,Claybury Plantation,3,0,4.796,0,23.498,0,Clay Soils,C,4,1860-1969,D,4,C,C,4,I,1573.88161214,89.1117185,170.8257408,Rural,R,0,E,159.95469665527344,132.2240447998047,119.4908218383789,147.8337860107422,181.27317810058594,130.96238708496094,174.89109802246094,125.1414566040039
602,Claybury Plantation,5,0,4.796,0,23.498,0,Clay Soils,C,4,1860-1969,D,4,C,C,4,I,1573.88161214,89.1117185,170.8257408,Rural,R,0,E,162.55768040248327,132.87742178780692,117.18299211774554,144.49669102260046,177.51658804757255,128.27736162458146,171.2634499686105,122.5496324811663
603,Claybury Tenantry,3,0,24.476,0,-1,0,Clay Soils,C,4,1860-1969,D,4,C,C,4,I,1577.54980469,88.4440518,170.5138179,Rural,R,0,E,164.75951385498047,133.63158798217773,121.19142150878906,151.278564453125,185.32760620117187,132.88235473632812,177.44363403320312,126.94031524658203
604,Cleavers Hill,3,0,321.016,0,87.294,0,Scotland District Soils,O,6,1860-1969,D,4,C,C,4,I,1532.98561024,84.4159791,167.8247103,Urban,U,1,E,121.38916704731602,126.46096752535912,115.13695230791646,142.5977025185862,175.3405244888798,125.90531576833418,168.5684071202432,120.67673049434539
605,Cleavers Hill,4,0,321.016,0,87.294,0,Scotland District Soils,O,6,1860-1969,D,4,C,C,4,I,1532.98561024,84.4159791,167.8247103,Urban,U,1,E,116.57252423516636,125.60439537311423,115.35057416455498,142.89759747735386,175.64394746977706,126.16478157043457,168.92755653118266,120.93563277145913
606,Clermont,4,17,5780.445,0.003,2.457,1.432,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1465.17222813,78.4002301,168.208155,Urban,U,1,W,118.88193307604108,121.05688408442906,125.38213761647542,154.84400622049967,190.23317500523157,137.27948025294714,183.1922185080392,131.60101295652845
607,Clermont,6,17,5780.445,0.003,2.457,1.432,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1465.17222813,78.4002301,168.208155,Urban,U,1,W,118.95201812251922,121.08604283486643,125.47732334752237,155.031856167701,190.4667227960402,137.39066979192918,183.34046788369454,131.70802799347908
608,Clermont,8,17,5780.445,0.003,2.457,1.432,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1465.17222813,78.4002301,168.208155,Urban,U,1,W,120.22039794921875,121.43126678466797,124.4151840209961,153.2071075439453,188.32005310058594,136.2188491821289,181.76909637451172,130.5731964111328
609,Clermont,10,17,5780.445,0.003,2.457,1.432,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1465.17222813,78.4002301,168.208155,Urban,U,1,W,119.92324829101562,121.11460876464844,124.53413391113281,153.6260757446289,188.74683380126953,136.33018493652344,181.92279815673828,130.68556213378906
610,Clermont,16,17,5780.445,0.003,2.457,1.432,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1465.17222813,78.4002301,168.208155,Urban,U,1,W,120.39093399047852,121.31395968268899,124.1338139702292,152.92946759392234,187.95403065400964,135.89878531063303,181.3428035062902,130.2663408167222
611,Clerview Heights,4,0,972.297,0,0.112,5.15,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1448.35055455,75.4375249,166.5796068,Urban,U,1,W,115.11444741708262,120.08760099057798,128.03858354356555,158.95457628038196,195.12837162724247,140.2107628716363,187.1201821786386,134.435061984592
612,Clerview Heights,6,0,972.297,0,0.112,5.15,Smectoid Clay,M,5,1970-1996,B,2,D,D,3,I,1448.35055455,75.4375249,166.5796068,Urban,U,1,W,114.25918420155843,120.07548681894939,128.7536710103353,160.0153719584147,196.41064453125,141.00755055745444,188.18700726826987,135.2044219970703
613,Cliff Cottage,3,0,1318.038,0,10.47,6.885,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1373.95706454,78.1693932,161.1142526,Urban,U,1,E,120.60013890266418,126.18799710273743,115.41498398780823,143.75146198272705,175.60674905776978,126.58017492294312,169.77406454086304,121.61855053901672
614,Cliff Cottage,4,0,1318.038,0,10.47,6.885,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1373.95706454,78.1693932,161.1142526,Urban,U,1,E,119.34002304077148,126.30767663319905,115.66478570302327,144.05680974324545,175.9864559173584,126.85711924235027,170.12918853759766,121.86878522237141
615,Cliff Plantation,3,0,1154.781,0,12.407,0,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1367.049823,81.0144389,163.0577399,Rural,R,0,E,120.72375084372128,124.07895570642808,113.51018883200253,141.11527925379136,172.3876288918888,124.444372289321,166.9351016773897,119.66964901194854
616,Cliff Plantation,6,0,1154.781,0,12.407,0,Kandoid Clay,K,3,1860-1969,D,4,C,C,4,I,1367.049823,81.0144389,163.0577399,Rural,R,0,E,120.16863383417544,123.50306005063264,112.79337144934613,140.25617582901666,171.32205266537875,123.64972421397333,165.91834491232166,118.95558365531589
